SPCD,SPECIES_SYMBOL,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,E_SPGRPCD,W_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,EXISTS_IN_NCRS,EXISTS_IN_NERS,EXISTS_IN_PNWRS,EXISTS_IN_RMRS,EXISTS_IN_SRS,SITETREE,SFTWD_HRDWD,ST_EXISTS_IN_NCRS,ST_EXISTS_IN_NERS,ST_EXISTS_IN_PNWRS,ST_EXISTS_IN_RMRS,ST_EXISTS_IN_SRS,CORE,EAST,WEST,CARIBBEAN,PACIFIC,WOODLAND,MANUAL_START,MANUAL_END,JENKINS_SPGRPCD,JENKINS_TOTAL_B1,JENKINS_TOTAL_B2,JENKINS_STEM_WOOD_RATIO_B1,JENKINS_STEM_WOOD_RATIO_B2,JENKINS_STEM_BARK_RATIO_B1,JENKINS_STEM_BARK_RATIO_B2,JENKINS_FOLIAGE_RATIO_B1,JENKINS_FOLIAGE_RATIO_B2,JENKINS_ROOT_RATIO_B1,JENKINS_ROOT_RATIO_B2,JENKINS_SAPLING_ADJUSTMENT,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,WOOD_SPGR_MC12VOL_DRYWT,WOOD_SPGR_MC12VOL_DRYWT_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,RAILE_STUMP_DOB_B1,RAILE_STUMP_DIB_B1,RAILE_STUMP_DIB_B2,CWD_DECAY_RATIO1,CWD_DECAY_RATIO2,CWD_DECAY_RATIO3,CWD_DECAY_RATIO4,CWD_DECAY_RATIO5,DWM_CARBON_RATIO,STANDING_DEAD_DECAY_RATIO1,STANDING_DEAD_DECAY_RATIO2,STANDING_DEAD_DECAY_RATIO3,STANDING_DEAD_DECAY_RATIO4,STANDING_DEAD_DECAY_RATIO5,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,DRYWT_TO_GREENWT_CONVERSION
6004,ACCO,small Philippine acacia,Acacia,confusa,,,54,54,,54,3,37,,,,X,,,,H,,,,,,N,,,,P,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.71291,26,0.71291,26,80.49,26,75.13,26,0.71291,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,FS_NIMS_SRS,10/29/2012 0:00,440,FS_NIMS_PNWRS,7/7/2022 0:00,67572,1.76
6017,ACDE,green wattle,Acacia,decurrens,,,55,55,,,3,37,146,,,X,,,,H,,,,,,N,,,,,,7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS_NIMS_PNWRS,8/28/2017 0:00,798795,FS_NIMS,8/11/2022 6:11,732862,
6016,ACDE3,silver wattle,Acacia,dealbata,,,55,55,,,3,37,146,,,X,,,,H,,,,,,N,,,,,,7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS_NIMS_PNWRS,8/28/2017 0:00,798795,FS_NIMS,8/11/2022 6:11,732862,
310,ACER,maple spp.,Acer,spp.,,,31,47,,,4,37,221,X,X,,,X,,H,,,,,,N,E,W,,,,1.7,,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84103,0.47,23,0.53,23,90.57,23,70.29,23,0.52,23,10.88,21,0.11585,0.94181,0.1074,1,0.84,0.71,0.45,0.45,0.491,0.979,0.766,0.565,0.45,0.45,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.725062321
303,ACFA,sweet acacia,Acacia,farnesiana,,,48,48,54,54,3,38,160,,,X,,X,,H,,,,,,N,E,W,C,P,X,2,,10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12798,0.92267,0.12506,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2/24/2005 0:00,333,FS_NIMS_PNWRS,2/16/2017 0:00,798795,1.758473594
5154,ACFR,Freeman maple,Acer,x freemanii,,,55,55,,,3,37,,X,X,X,,X,,H,,,,,,N,X,,,,,6,,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84,0.47,24,0.53,24,90.54,24,70.16,24,0.52,24,10.81,24,,,,,,,,,,,,,,,FS_NIMS_NRS,5/1/2014 10:12,440,FS_NIMS_NRS,4/19/2019 10:47,981125,1.76
5147,ACGI,Amur maple,Acer,ginnala,,,55,55,,,3,37,221,X,X,X,,X,,H,,,,,,N,X,,,,,6,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84,0.47,24,0.53,24,90.54,24,70.16,24,0.52,24,10.81,24,,,,,,,,,,0.979,0.766,0.565,0.45,0.45,FS_NIMS_NRS,5/1/2014 0:00,440,FS_NIMS_PNWRS,5/10/2022 0:00,67572,1.76
321,ACGL,Rocky Mountain maple,Acer,glabrum,,,48,48,,,4,38,159,X,,X,,X,,H,,,,,,N,,W,,,X,1.7,,10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.65075,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.12798,0.92267,0.12506,0.941,0.709,0.533,0.317,0.241,0.491,0.979,0.766,0.565,0.45,0.45,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.725062321
304,ACGR,catclaw acacia,Acacia,greggii,,,48,48,,,3,38,160,,,X,,X,,H,,,,,,N,E,W,,,X,2,,10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12798,0.92267,0.12506,1,0.78,0.45,0.42,0.42,0.491,0.982,0.793,0.618,0.525,0.525,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.758473594
5148,ACGR14,paperbark maple,Acer,griseum,,,55,55,,,3,37,,X,X,X,,X,,H,,,,,,N,X,,,,,6,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84,0.47,24,0.53,24,90.54,24,70.16,24,0.52,24,10.81,24,,,,,,,,,,,,,,,FS_NIMS_NRS,5/1/2014 10:12,440,FS_NIMS_NRS,4/19/2019 10:47,981125,1.76
322,ACGR3,bigtooth maple,Acer,grandidentatum,,,48,48,,,4,38,159,,,X,X,X,,H,,,,,,N,,W,,,X,1.7,,10,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.65075,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.12798,0.92267,0.12506,1,0.84,0.71,0.45,0.45,0.491,0.979,0.766,0.565,0.45,0.45,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.725062321
6006,ACKO,koa,Acacia,koa,,,54,54,,54,3,37,,,,X,,,,H,,,,,,N,,,,P,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.55,26,0.55,26,80.49,26,75.13,26,0.55,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,FS_NIMS_SRS,10/29/2012 0:00,440,FS_NIMS_PNWRS,7/7/2022 0:00,67572,1.76
6007,ACKO2,koaoha,Acacia,koaia,,,54,54,,54,3,37,,,,X,,,,H,,,,,,N,,,,P,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.77,26,0.77,26,80.49,26,75.13,26,0.77,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,FS_NIMS_SRS,10/29/2012 0:00,440,FS_NIMS_PNWRS,7/7/2022 0:00,67572,1.76
323,ACLE,chalk maple,Acer,leucoderme,,,31,47,,,4,36,97,,,,,X,,H,,,,,,Y,E,,,,,1.7,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84103,0.47,24,0.53,24,90.57,24,70.29,24,0.52,24,10.88,24,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.979,0.766,0.565,0.45,0.45,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.725062321
6019,ACLO,Sydney golden wattle,Acacia,longifolia,,,55,55,,,3,37,146,,,X,,,,H,,,,,,N,,,,,,7,,8,-0.7152,1.7029,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.65075,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,,,,,,,,,,0.99,0.8,0.54,0.43,0.33,FS_NIMS_PNWRS,8/28/2017 18:05,798795,FS_NIMS,8/11/2022 6:11,732862,1.758473594
6008,ACMA,porknut,Acacia,macracantha,,,54,54,54,,3,37,227,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,NIMS_TROP_4_0,9/22/2010 13:56,10854,FS_NIMS,8/11/2022 6:11,732862,1.758473594
6009,ACMA12,black wattle,Acacia,mangium,,,54,54,54,54,3,37,227,,,X,,X,,H,,,,,,N,,,C,P,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,NIMS_TROP_4_0,9/22/2010 0:00,10854,FS_NIMS,8/11/2022 6:11,732862,1.758473594
312,ACMA3,bigleaf maple,Acer,macrophyllum,,,43,47,,,3,25,130,,,X,,X,X,H,,,X,,,Y,,W,,,,1.7,,7,-1.9123,2.3651,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.96395,0.44,1,0.48,3,113.66667,18,71.18182,5,0.48,1,10,30,0.11585,0.94181,0.1074,1,0.84,0.71,0.45,0.45,0.491,0.979,0.766,0.565,0.45,0.45,NIMS_2_1,2/24/2005 9:40,333,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.753606577
6011,ACME,blackwood,Acacia,melanoxylon,,,54,54,,54,3,37,,,,X,,,,H,,,,,,N,,,,P,,5,,8,,,,,,,,,,,,0.55539,,0.55539,,,,,,0.55539,,,,,,,,,,,,,,,,,,FS_NIMS_SRS,10/29/2012 16:13,440,FS_NIMS_PNWRS,2/16/2017 11:50,798795,1.76
6023,ACME2,grugru palm,Acrocomia,media,,,53,53,53,,3,37,227,,,,,X,,H,,,,,,N,,,C,,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.52,26,0.53,26,80.49,26,75.13,26,0.58,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,NIMS_TROP_4_0,9/22/2010 13:56,10854,FS_NIMS,8/11/2022 6:11,732862,1.758473594
6010,ACME80,black wattle,Acacia,mearnsii,,,54,54,,54,3,37,,,,X,,,,H,,,,,,N,,,,P,,5,,8,-2.48,2.4835,-0.3065,-5.424,-2.0129,-1.6805,-4.0813,5.8816,-1.6911,0.816,0.84031,0.65,26,0.65,26,80.49,26,75.13,26,0.65,26,15.16,26,0.12766,0.91979,0.12152,1,0.78,0.45,0.42,0.42,0.491,0.987,0.837,0.685,0.539,0.539,FS_NIMS_SRS,10/29/2012 0:00,440,FS_NIMS_PNWRS,7/7/2022 0:00,67572,1.76
